type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,combined_features,normalized_title
Movie,Bee Movie,"Steve Hickner, Simon J. Smith","Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta",United States,"January 1, 2017",2007,PG,92 min,"Children & Family Movies, Comedies","barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along.","barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along. Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta Steve Hickner, Simon J. Smith",bee movie
Movie,Headwinds,Jalil Lespert,"Benoît Magimel, Isabelle Carré, Antoine Duléry, Ramzy Bédia, Bouli Lanners, Marie-Ange Casta, Daniel Duval, Lubna Azabal, Aurore Clément, Audrey Tautou","France, Belgium","January 1, 2017",2011,TV-MA,92 min,"Dramas, Independent Movies, International Movies","after his wife inexplicably disappears, a man takes their two children and relocates to his hometown in an attempt to end their grief and move on.","after his wife inexplicably disappears, a man takes their two children and relocates to his hometown in an attempt to end their grief and move on. Benoît Magimel, Isabelle Carré, Antoine Duléry, Ramzy Bédia, Bouli Lanners, Marie-Ange Casta, Daniel Duval, Lubna Azabal, Aurore Clément, Audrey Tautou Jalil Lespert",headwinds
Movie,Udta Punjab,Abhishek Chaubey,"Shahid Kapoor, Kareena Kapoor, Alia Bhatt, Diljit Dosanjh, Satish Kaushik, Suhail Nayyar, Prabhjyot Singh, Harpreet Singh, Manav Vij, Taran Bajaj",India,"January 1, 2017",2016,TV-MA,146 min,"Dramas, International Movies","drug abuse and the darker side of punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star.","drug abuse and the darker side of punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star. Shahid Kapoor, Kareena Kapoor, Alia Bhatt, Diljit Dosanjh, Satish Kaushik, Suhail Nayyar, Prabhjyot Singh, Harpreet Singh, Manav Vij, Taran Bajaj Abhishek Chaubey",udta punjab
Movie,Mr. Pig,Diego Luna,"Danny Glover, Maya Rudolph, José María Yazpik, Joel Murray, Angélica Aragón, Gabriela Araujo",Mexico,"December 31, 2016",2016,TV-MA,97 min,"Dramas, Independent Movies, International Movies",an aging california pig farmer whose property is on the brink of foreclosure makes a last-ditch trip across the border to sell his prized hog.,"an aging california pig farmer whose property is on the brink of foreclosure makes a last-ditch trip across the border to sell his prized hog. Danny Glover, Maya Rudolph, José María Yazpik, Joel Murray, Angélica Aragón, Gabriela Araujo Diego Luna",mr. pig
Movie,7:19,Jorge Michel Grau,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,"December 23, 2016",2016,TV-MA,93 min,"Dramas, International Movies","after a devastating earthquake hits mexico city, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.","after a devastating earthquake hits mexico city, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive. Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato Jorge Michel Grau",7:19
Movie,Garfunkel and Oates: Trying to be Special,"Riki Lindhome, Jeremy Konner","Riki Lindhome, Kate Micucci, Anthony Jeselnik, Steve Agee",United States,"December 23, 2016",2016,TV-MA,62 min,"Music & Musicals, Stand-Up Comedy",garfunkel and oates put on a surprise-filled show in seattle in hopes of raising enough money to make their own comedy special.,"garfunkel and oates put on a surprise-filled show in seattle in hopes of raising enough money to make their own comedy special. Riki Lindhome, Kate Micucci, Anthony Jeselnik, Steve Agee Riki Lindhome, Jeremy Konner",garfunkel and oates: trying to be special
Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, Selah Victor, Ben Diskin, Erin Fitzgerald, Grant George","France, South Korea, Japan","December 20, 2016",2016,TV-Y7,22 min,Movies,parisian teen marinette transforms herself into superhero ladybug to find her lonely secret crush adrien when he runs away from home at christmas.,"parisian teen marinette transforms herself into superhero ladybug to find her lonely secret crush adrien when he runs away from home at christmas. Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, Selah Victor, Ben Diskin, Erin Fitzgerald, Grant George Thomas Astruc",a christmas special: miraculous: tales of ladybug & cat noir
Movie,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,Manny Rodriguez,Gabriel Iglesias,United States,"December 20, 2016",2016,TV-14,88 min,Stand-Up Comedy,"hawaiian-shirt enthusiast gabriel ""fluffy"" iglesias finds the laughs in racist gift baskets, prius-driving cops and all-female taco trucks.","hawaiian-shirt enthusiast gabriel ""fluffy"" iglesias finds the laughs in racist gift baskets, prius-driving cops and all-female taco trucks. Gabriel Iglesias Manny Rodriguez",gabriel lglesias: i’m sorry for what i said when i was hungry
Movie,Barry,Vikram Gandhi,"Devon Terrell, Anya Taylor-Joy, Jason Mitchell, Ashley Judd, Jenna Elfman, Ellar Coltrane, Avi Nash, Linus Roache, John Benjamin Hickey",United States,"December 16, 2016",2016,TV-MA,105 min,Dramas,"a young barack obama forges his identity while dealing with race, divergent cultures and ordinary life as a new york city college student.","a young barack obama forges his identity while dealing with race, divergent cultures and ordinary life as a new york city college student. Devon Terrell, Anya Taylor-Joy, Jason Mitchell, Ashley Judd, Jenna Elfman, Ellar Coltrane, Avi Nash, Linus Roache, John Benjamin Hickey Vikram Gandhi",barry
Movie,Sister Cities,Sean Hanish,"Jacki Weaver, Troian Bellisario, Stana Katic, Michelle Trachtenberg, Jess Weixler, Alfred Molina, Amy Smart, Tom Everett Scott, Kaia Gerber, Aimee Garcia, Kathy Baker, Peter Jason",United States,"December 16, 2016",2016,TV-MA,88 min,Dramas,"after years of estrangement, four sisters gather in the wake of their mother's death, which may or may not have been a suicide.","after years of estrangement, four sisters gather in the wake of their mother's death, which may or may not have been a suicide. Jacki Weaver, Troian Bellisario, Stana Katic, Michelle Trachtenberg, Jess Weixler, Alfred Molina, Amy Smart, Tom Everett Scott, Kaia Gerber, Aimee Garcia, Kathy Baker, Peter Jason Sean Hanish",sister cities
Movie,3 Türken & ein Baby,Sinan Akkuş,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",Germany,"December 15, 2016",2015,TV-MA,93 min,"Comedies, International Movies",the lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,"the lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby. Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar Sinan Akkuş",3 türken & ein baby
Movie,Eddie - Strongman,Matt Bell,Eddie Hall,United Kingdom,"December 15, 2016",2015,TV-MA,98 min,"Documentaries, Sports Movies",british strongman eddie hall wants to be the strongest man in the world. this documentary reveals the grueling life choices that fuel his obsession.,british strongman eddie hall wants to be the strongest man in the world. this documentary reveals the grueling life choices that fuel his obsession. Eddie Hall Matt Bell,eddie - strongman
TV Show,Merlin,James Hawes,"Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker",United Kingdom,"December 15, 2016",2012,TV-PG,5 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure","this family-oriented retelling of the king arthur legend finds merlin arriving in camelot, where he hones his magic skills with the help of his uncle.","this family-oriented retelling of the king arthur legend finds merlin arriving in camelot, where he hones his magic skills with the help of his uncle. Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker James Hawes",merlin
Movie,Sand Storm,Elite Zexer,"Lamis Ammar, Ruba Blal, Haitham Omari, Khadija Alakel, Jalal Masarwa","Israel, Germany, France","December 15, 2016",2016,TV-PG,88 min,"Dramas, Independent Movies, International Movies","when a bedouin patriarch takes a second bride, his first wife chafes against her changing status while his daughter chases her own dreams of autonomy.","when a bedouin patriarch takes a second bride, his first wife chafes against her changing status while his daughter chases her own dreams of autonomy. Lamis Ammar, Ruba Blal, Haitham Omari, Khadija Alakel, Jalal Masarwa Elite Zexer",sand storm
Movie,Ricardo O'Farrill: Abrazo navideño,"Raúl Campos, Jan Suter","Ricardo O'Farrill, Carlos Ballarta, Sofía Niño de Rivera, Chumel Torres, Marissa ""Chabe"" Lozano",Mexico,"December 12, 2016",2016,TV-MA,31 min,Stand-Up Comedy,"the expressive ricardo o'farrill uses his astute comedic sensibilities to tease christmas traditions, and not even santa claus escapes unscathed.","the expressive ricardo o'farrill uses his astute comedic sensibilities to tease christmas traditions, and not even santa claus escapes unscathed. Ricardo O'Farrill, Carlos Ballarta, Sofía Niño de Rivera, Chumel Torres, Marissa ""Chabe"" Lozano Raúl Campos, Jan Suter",ricardo o'farrill: abrazo navideño
Movie,Asperger's Are Us,Alex Lehmann,"Noah Britton, Ethan Finlan, Jack Hanke, New Michael Ingemi",United States,"December 11, 2016",2016,TV-MA,83 min,Documentaries,a comedy troupe of four friends on the autism spectrum prepares for a final show before its members go their separate ways.,"a comedy troupe of four friends on the autism spectrum prepares for a final show before its members go their separate ways. Noah Britton, Ethan Finlan, Jack Hanke, New Michael Ingemi Alex Lehmann",asperger's are us
Movie,Mariah Carey's Merriest Christmas,James Yukich,"Mariah Carey, Lacey Chabert, Kelsey Grammer, Billy Gardell, Fina Strazza, Kenneth Edmonds, Cameron Mathison, Brennan Elliott",United States,"December 9, 2016",2015,TV-G,38 min,"Children & Family Movies, Music & Musicals","pop music superstar mariah carey hosts this all-star holiday celebration with special guests and a celebrity reading of ""the night before christmas.""","pop music superstar mariah carey hosts this all-star holiday celebration with special guests and a celebrity reading of ""the night before christmas."" Mariah Carey, Lacey Chabert, Kelsey Grammer, Billy Gardell, Fina Strazza, Kenneth Edmonds, Cameron Mathison, Brennan Elliott James Yukich",mariah carey's merriest christmas
Movie,Spectral,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini, Clayne Crawford, Cory Hardrict, Louis Ozawa Changchien, Jimmy Akingbola, Dylan Smith, Philip Bulcock","United States, Hungary","December 9, 2016",2016,TV-14,108 min,"Action & Adventure, Sci-Fi & Fantasy","when an otherworldly force wreaks havoc on a war-torn european city, an engineer teams up with an elite special ops unit to stop it.","when an otherworldly force wreaks havoc on a war-torn european city, an engineer teams up with an elite special ops unit to stop it. James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini, Clayne Crawford, Cory Hardrict, Louis Ozawa Changchien, Jimmy Akingbola, Dylan Smith, Philip Bulcock Nic Mathieu",spectral
Movie,Other People,Chris Kelly,"Jesse Plemons, Molly Shannon, Bradley Whitford, Maude Apatow, Madisen Beaty, John Early, Zach Woods, Paul Dooley, June Squibb",United States,"December 8, 2016",2016,TV-MA,97 min,"Comedies, Dramas, Independent Movies","after a bad breakup, a struggling new york comedy writer tries to don a brave face and care for his dying mother in sacramento.","after a bad breakup, a struggling new york comedy writer tries to don a brave face and care for his dying mother in sacramento. Jesse Plemons, Molly Shannon, Bradley Whitford, Maude Apatow, Madisen Beaty, John Early, Zach Woods, Paul Dooley, June Squibb Chris Kelly",other people
Movie,Blue Jay,Alex Lehmann,"Sarah Paulson, Mark Duplass, Clu Gulager",United States,"December 6, 2016",2016,TV-MA,81 min,"Dramas, Independent Movies, Romantic Movies","two former high school sweethearts unexpectedly reunite in their old hometown, where they rediscover their magical bond and face a shared regret.","two former high school sweethearts unexpectedly reunite in their old hometown, where they rediscover their magical bond and face a shared regret. Sarah Paulson, Mark Duplass, Clu Gulager Alex Lehmann",blue jay
Movie,One in a Billion,Roman Gackowski,"Satnam Singh Bhamara, Mark Cuban, Adam Silver, Vivek Ranadivé",United States,"December 6, 2016",2016,TV-14,70 min,"Documentaries, Sports Movies",follow the journey of satnam singh bhamara as he works to fulfill his dream of becoming the first india-born player to be drafted into the nba.,"follow the journey of satnam singh bhamara as he works to fulfill his dream of becoming the first india-born player to be drafted into the nba. Satnam Singh Bhamara, Mark Cuban, Adam Silver, Vivek Ranadivé Roman Gackowski",one in a billion
Movie,Reggie Watts: Spatial,Benjamin Dickinson,Reggie Watts,United States,"December 6, 2016",2016,TV-MA,62 min,"Music & Musicals, Stand-Up Comedy","the comic innovator delivers a surreal set blending experimental songs, jokes about grits, guns and drugs, and other improvised comedy adventures.","the comic innovator delivers a surreal set blending experimental songs, jokes about grits, guns and drugs, and other improvised comedy adventures. Reggie Watts Benjamin Dickinson",reggie watts: spatial
Movie,Mercenary,Sacha Wolff,"Toki Pilioko, Iliana Zabeth, Mikaele Tuugahala, Laurent Pakihivatau, Petelo Sealeu, Maoni Talalua, Teotola Maka, Bessarion Udesiani",France,"December 4, 2016",2016,TV-MA,99 min,"Dramas, International Movies, Sports Movies","when he defies his cruel father and leaves new caledonia to play rugby in france, young soane learns hard lessons about life, love and success.","when he defies his cruel father and leaves new caledonia to play rugby in france, young soane learns hard lessons about life, love and success. Toki Pilioko, Iliana Zabeth, Mikaele Tuugahala, Laurent Pakihivatau, Petelo Sealeu, Maoni Talalua, Teotola Maka, Bessarion Udesiani Sacha Wolff",mercenary
Movie,For the Love of Spock,Adam Nimoy,"Leonard Nimoy, William Shatner, George Takei, Nichelle Nichols, Chris Pine, Zachary Quinto, Simon Pegg, Zoe Saldana, Jim Parsons, Jason Alexander, Neil deGrasse Tyson, J.J. Abrams","Canada, United States","December 2, 2016",2016,TV-14,112 min,Documentaries,"the son of actor leonard nimoy directs this moving look at his father's portrayal of spock, the iconic ""star trek"" character he played for 50 years.","the son of actor leonard nimoy directs this moving look at his father's portrayal of spock, the iconic ""star trek"" character he played for 50 years. Leonard Nimoy, William Shatner, George Takei, Nichelle Nichols, Chris Pine, Zachary Quinto, Simon Pegg, Zoe Saldana, Jim Parsons, Jason Alexander, Neil deGrasse Tyson, J.J. Abrams Adam Nimoy",for the love of spock
Movie,White Girl,Elizabeth Wood,"Morgan Saylor, Brian 'Sene' Marc, Justin Bartha, Chris Noth, Adrian Martinez, India Menuez, Anthony Ramos, Ralph Rodriguez, Annabelle Dexter-Jones",United States,"December 2, 2016",2016,TV-MA,90 min,"Dramas, Independent Movies","a college girl romping through new york city in search of cocaine and other highs finds something real to grasp, only to see it potentially slip away.","a college girl romping through new york city in search of cocaine and other highs finds something real to grasp, only to see it potentially slip away. Morgan Saylor, Brian 'Sene' Marc, Justin Bartha, Chris Noth, Adrian Martinez, India Menuez, Anthony Ramos, Ralph Rodriguez, Annabelle Dexter-Jones Elizabeth Wood",white girl
Movie,1000 Rupee Note,Shrihari Sathe,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",India,"December 1, 2016",2014,TV-14,89 min,"Dramas, International Movies","after randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.","after randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly. Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad Shrihari Sathe",1000 rupee note
Movie,Across Grace Alley,Ralph Macchio,"Ben Hyland, Marsha Mason, Karina Smirnoff, Colin Branca, Ralph Macchio, Tricia Paoluccio",United States,"December 1, 2016",2013,TV-PG,24 min,Dramas,"a young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window.","a young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window. Ben Hyland, Marsha Mason, Karina Smirnoff, Colin Branca, Ralph Macchio, Tricia Paoluccio Ralph Macchio",across grace alley
Movie,Asu Mare 2,Ricardo Maldonado,"Carlos Alcántara, Emilia Drago, Christian Meier, Andrés Salas, Anahí de Cárdenas, Rodrigo Sánchez Patiño, Denisse Dibós, Javier Delgiudice, Ana Cecilia Natteri",Peru,"December 1, 2016",2015,TV-14,100 min,"Comedies, International Movies",to win the heart of his true love – a high-society girl – a hapless commoner plots to change his identity and avoid his embarrassing friends.,"to win the heart of his true love – a high-society girl – a hapless commoner plots to change his identity and avoid his embarrassing friends. Carlos Alcántara, Emilia Drago, Christian Meier, Andrés Salas, Anahí de Cárdenas, Rodrigo Sánchez Patiño, Denisse Dibós, Javier Delgiudice, Ana Cecilia Natteri Ricardo Maldonado",asu mare 2
Movie,Interrogation,Vetrimaaran,"Dinesh Ravi, Samuthirakani, Kishore Kumar, Anandhi, Murugadoss, Ajay Ghosh",India,"December 1, 2016",2015,TV-MA,116 min,"Dramas, International Movies, Thrillers","in this fact-based drama, politically motivated cops in andhra pradesh set out to frame four tamil laborers for a crime, torturing them to no avail.","in this fact-based drama, politically motivated cops in andhra pradesh set out to frame four tamil laborers for a crime, torturing them to no avail. Dinesh Ravi, Samuthirakani, Kishore Kumar, Anandhi, Murugadoss, Ajay Ghosh Vetrimaaran",interrogation
Movie,Rainbow Time,Linas Phillips,"Linas Phillips, Melanie Lynskey, Timm Sharp, Tobin Bell, Jay Duplass, Lauren Weedman, Artemis Pebdani, Reagan Yates, Austin Fryberger",United States,"December 1, 2016",2016,TV-MA,92 min,"Comedies, Dramas, Independent Movies","a developmentally disabled man obsessed with the fonz, guns and all things kinky poses a challenge for his arrogant brother when he moves in with him.","a developmentally disabled man obsessed with the fonz, guns and all things kinky poses a challenge for his arrogant brother when he moves in with him. Linas Phillips, Melanie Lynskey, Timm Sharp, Tobin Bell, Jay Duplass, Lauren Weedman, Artemis Pebdani, Reagan Yates, Austin Fryberger Linas Phillips",rainbow time
Movie,Richard Pryor: Live in Concert,Jeff Margolis,Richard Pryor,United States,"December 1, 2016",1979,TV-MA,79 min,Stand-Up Comedy,"richard pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself.","richard pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself. Richard Pryor Jeff Margolis",richard pryor: live in concert
Movie,The Violin Player,Bauddhayan Mukherji,"Ritwick Chakraborty, Adil Hussain, Nayani Dixit, Sonam Stobgais",India,"December 1, 2016",2016,TV-14,72 min,"Dramas, Independent Movies, International Movies","an unemployed bollywood session violinist in mumbai finally lands a small gig, but it's what happens on his way home that proves truly transformative.","an unemployed bollywood session violinist in mumbai finally lands a small gig, but it's what happens on his way home that proves truly transformative. Ritwick Chakraborty, Adil Hussain, Nayani Dixit, Sonam Stobgais Bauddhayan Mukherji",the violin player
Movie,Beauties of the Night,María Jose Cuevas,"Olga Breeskin, Lyn May, Rossy Mendoza, Wanda Seux, Princesa Yamal",Mexico,"November 25, 2016",2016,TV-MA,92 min,"Documentaries, International Movies","back in the days of disco, mexico had its own stars of the night. this documentary casts new light on former queens of the mexican burlesque scene.","back in the days of disco, mexico had its own stars of the night. this documentary casts new light on former queens of the mexican burlesque scene. Olga Breeskin, Lyn May, Rossy Mendoza, Wanda Seux, Princesa Yamal María Jose Cuevas",beauties of the night
Movie,Michael Che Matters,Oz Rodriguez,Michael Che,United States,"November 25, 2016",2016,TV-MA,61 min,Stand-Up Comedy,"""snl"" star michael che takes on hot-button topics like inequality, homophobia and gentrification in this stand-up set filmed live in brooklyn.","""snl"" star michael che takes on hot-button topics like inequality, homophobia and gentrification in this stand-up set filmed live in brooklyn. Michael Che Oz Rodriguez",michael che matters
Movie,Mercy,Chris Sparling,"James Wolk, Caitlin Fitzgerald, Tom Lipinski, Dan Ziskie, Michael Godere, Michael Donovan, Dion Graham, Constance Barron",United States,"November 22, 2016",2016,TV-MA,88 min,"Dramas, Thrillers",two brothers clash with their half-siblings when a visit home to see their dying mother surfaces old secrets and becomes a fight for survival.,"two brothers clash with their half-siblings when a visit home to see their dying mother surfaces old secrets and becomes a fight for survival. James Wolk, Caitlin Fitzgerald, Tom Lipinski, Dan Ziskie, Michael Godere, Michael Donovan, Dion Graham, Constance Barron Chris Sparling",mercy
Movie,The Land of Cards,Qaushiq Mukherjee,"Joyraj Bhattacharya, Rii, Soumyak Kanti DeBiswas, Anubrata Basu, Tillotama Shome, Maya Tideman, Tinu Verghese, Immaduddin Shah, Sayani Gupta",India,"November 22, 2016",2012,TV-14,113 min,"Dramas, Independent Movies, International Movies",a royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.,"a royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play. Joyraj Bhattacharya, Rii, Soumyak Kanti DeBiswas, Anubrata Basu, Tillotama Shome, Maya Tideman, Tinu Verghese, Immaduddin Shah, Sayani Gupta Qaushiq Mukherjee",the land of cards
Movie,Carlos Ballarta: El amor es de putos,"Jan Suter, Raúl Campos Delgado",Carlos Ballarta,Mexico,"November 21, 2016",2016,TV-MA,67 min,Stand-Up Comedy,"carlos ballarta mocks daily life in mexico, including public transit, the education system and the corn seller who betrays your confidence.","carlos ballarta mocks daily life in mexico, including public transit, the education system and the corn seller who betrays your confidence. Carlos Ballarta Jan Suter, Raúl Campos Delgado",carlos ballarta: el amor es de putos
Movie,Donald Glover: Weirdo,"Shannon Hartman, Michelle Caputo",Donald Glover,United States,"November 19, 2016",2012,TV-MA,65 min,Stand-Up Comedy,"fearlessly funny stand-up comic and sitcom star donald glover puts on a live show in new york, confessing his love for cocoa puffs and toys ""r"" us.","fearlessly funny stand-up comic and sitcom star donald glover puts on a live show in new york, confessing his love for cocoa puffs and toys ""r"" us. Donald Glover Shannon Hartman, Michelle Caputo",donald glover: weirdo
Movie,Colin Quinn: The New York Story,Jerry Seinfeld,Colin Quinn,United States,"November 18, 2016",2016,TV-MA,62 min,Stand-Up Comedy,"the ""snl"" veteran performs his off-broadway show about the history of new york and the people who shape its personality. directed by jerry seinfeld.","the ""snl"" veteran performs his off-broadway show about the history of new york and the people who shape its personality. directed by jerry seinfeld. Colin Quinn Jerry Seinfeld",colin quinn: the new york story
Movie,Divines,Houda Benyamina,"Déborah Lukumuena, Jisca Kalvanda, Kévin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha","France, Qatar","November 18, 2016",2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",a shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer.,"a shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer. Déborah Lukumuena, Jisca Kalvanda, Kévin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha Houda Benyamina",divines
Movie,Dieter Nuhr: Nuhr in Berlin,Volker Weicker,Dieter Nuhr,Germany,"November 15, 2016",2016,TV-MA,69 min,Stand-Up Comedy,"the cerebral and popular german cabaret comic expounds his theories on gender norms, primal instincts and a decidedly gastrointestinal big bang.","the cerebral and popular german cabaret comic expounds his theories on gender norms, primal instincts and a decidedly gastrointestinal big bang. Dieter Nuhr Volker Weicker",dieter nuhr: nuhr in berlin
Movie,Mumbai Cha Raja,Manjeet Singh,"Rahul Bairagi, Arbaaz Khan, Tejas Parvatkar, Dhanshree Jain, Salman Khan, Aftab Khan",India,"November 15, 2016",2012,TV-MA,77 min,"Dramas, Independent Movies, International Movies","this coming-of-age tale follows rahul, a young boy growing up in a mumbai slum whose alcoholic father abuses him and his mother.","this coming-of-age tale follows rahul, a young boy growing up in a mumbai slum whose alcoholic father abuses him and his mother. Rahul Bairagi, Arbaaz Khan, Tejas Parvatkar, Dhanshree Jain, Salman Khan, Aftab Khan Manjeet Singh",mumbai cha raja
Movie,True Memoirs of an International Assassin,Jeff Wadlow,"Kevin James, Andy Garcia, Zulay Henao, Maurice Compte, Kelen Coleman, Andrew Howard, Rob Riggle, Leonard Earl Howze, Yul Vazquez, Kim Coates, Daniel Zacapa, Ron Rifkin, Jeff Chase",United States,"November 11, 2016",2016,TV-14,98 min,"Action & Adventure, Comedies","after his publisher markets his crime novel as a memoir, a novice author finds himself forcibly recruited into a deadly political plot in venezuela.","after his publisher markets his crime novel as a memoir, a novice author finds himself forcibly recruited into a deadly political plot in venezuela. Kevin James, Andy Garcia, Zulay Henao, Maurice Compte, Kelen Coleman, Andrew Howard, Rob Riggle, Leonard Earl Howze, Yul Vazquez, Kim Coates, Daniel Zacapa, Ron Rifkin, Jeff Chase Jeff Wadlow",true memoirs of an international assassin
Movie,Kathleen Madigan: Bothering Jesus,Lorene Machado,Kathleen Madigan,United States,"November 10, 2016",2016,TV-MA,71 min,Stand-Up Comedy,"the irish american comic riffs on everything from growing up in missouri, signing up her parents to be uber drivers and anything to do with bacon.","the irish american comic riffs on everything from growing up in missouri, signing up her parents to be uber drivers and anything to do with bacon. Kathleen Madigan Lorene Machado",kathleen madigan: bothering jesus
Movie,"Dana Carvey: Straight White Male, 60",Marcus Raboy,Dana Carvey,United States,"November 4, 2016",2016,TV-MA,64 min,Stand-Up Comedy,emmy-winning comedian dana carvey blends pitch-perfect takes on big personalities with so-true-it-hurts stories from his life as a dad of millennials.,emmy-winning comedian dana carvey blends pitch-perfect takes on big personalities with so-true-it-hurts stories from his life as a dad of millennials. Dana Carvey Marcus Raboy,"dana carvey: straight white male, 60"
Movie,A Grand Night In: The Story of Aardman,Richard Mears,Julie Walters,United Kingdom,"November 1, 2016",2015,TV-PG,59 min,Documentaries,"aardman animations icons wallace & gromit, morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.","aardman animations icons wallace & gromit, morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary. Julie Walters Richard Mears",a grand night in: the story of aardman
Movie,Norman Lear: Just Another Version of You,"Heidi Ewing, Rachel Grady","Norman Lear, George Clooney, Bill Moyers, John Amos, Russell Simmons, Louise Lasser, Rob Reiner, Jon Stewart, Amy Poehler",United States,"November 1, 2016",2016,TV-MA,91 min,Documentaries,"this documentary turns the spotlight on the man behind the iconic ""all in the family,"" with comments from friends, family and famous collaborators.","this documentary turns the spotlight on the man behind the iconic ""all in the family,"" with comments from friends, family and famous collaborators. Norman Lear, George Clooney, Bill Moyers, John Amos, Russell Simmons, Louise Lasser, Rob Reiner, Jon Stewart, Amy Poehler Heidi Ewing, Rachel Grady",norman lear: just another version of you
Movie,Santa Pac's Merry Berry Day,Moto Sakakibara,"Erin Mathews, Sam Vincent, Andrea Libman, Ashleigh Ball, Ian James Corlett, Brian Drummond, Lee Tockar, Matt Hill, Richard Newman",,"November 1, 2016",2016,TV-Y,44 min,Movies,pac aims to keep berry day the happiest day ever by unraveling a curious mystery about his parents and thwarting betrayus's plan to capture santa pac.,"pac aims to keep berry day the happiest day ever by unraveling a curious mystery about his parents and thwarting betrayus's plan to capture santa pac. Erin Mathews, Sam Vincent, Andrea Libman, Ashleigh Ball, Ian James Corlett, Brian Drummond, Lee Tockar, Matt Hill, Richard Newman Moto Sakakibara",santa pac's merry berry day
